post_url,post_text,posted_at,likes,total_comments,pct_tech_comments,pct_engineer_comments,pct_founder_comments,pct_hr_comments,pct_negative,pct_negative_engineer,pct_toxic_burnout,pct_critical_hostile,pct_supportive,risk_level,risk_class,risk_score,risk_reasons,risk_level_full,risk_class_full,risk_score_full,risk_reasons_full,pct_negative_full,pct_negative_engineer_full,pct_toxic_burnout_full,pct_critical_hostile_full,pct_supportive_full
https://www.linkedin.com/posts/meta_lifeatmeta-womenintech-gracehopper2025-activity-7406713486380085248-6R72,"5 products shipped in one year. Nonlinear paths embraced. Careers redefined. 👓 At Grace Hopper 2025, Meta wearables leaders Hind Hobeika, Kelly Ingham, Ming Hua and Shira Gordon revealed how curiosity fueled their rise in consumer hardware. 🔹 Discover the top 5 career growth lessons they’ve learned from decades in leadership. Julia L. #LifeAtMeta #WomeninTech #GraceHopper2025 #MetaCareers #Wearables #AI",2025-12-16 16:15:05,29,7.0,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.8571428571428571,Low,Helpful,0.0,supportive signal,Low,Helpful,0.0,supportive signal,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.8571428571428571
https://www.linkedin.com/posts/meta_techgifts-techinnovation-metaai-activity-7405592348828737536-tKhe,Looking for the perfect holiday gift? 🎁 Take Meta’s Holiday Quiz to see which cutting-edge AI or VR device fits your loved ones' interests — from iconic AI glasses to immersive Quest headsets. Give the gift of innovation this season! 👓 Find your perfect match in the gift guide: https://lnkd.in/g26v7wnp ✨ #TechGifts #TechInnovation #MetaAI #Wearables #AI,2025-12-13 14:00:05,259,30.0,0.36666666666666664,0.06666666666666667,0.16666666666666666,0.03333333333333333,0.36666666666666664,0.09090909090909091,0.2,0.36666666666666664,0.4666666666666667,High,Harmful,1.5,toxic/burnout>=15%;negative>=30%;critical_hostile>=25%,High,Harmful,1.5,toxic/burnout>=15%;negative>=30%;critical_hostile>=25%,0.36666666666666664,0.09090909090909091,0.2,0.36666666666666664,0.4666666666666667
https://www.linkedin.com/posts/meta_metacareers-richlandparish-datacenter-activity-7404897786942390273-ePqZ,"Inside the Meta Richland Parish Data Center: Meet our Campus Facility Director 👋 Micah Petty leads the team supporting our largest Meta data center to date in Richland Parish, Louisiana, a data center that will play a vital role in accelerating our AI progress, delivering over 2 gigawatts of compute capacity to train future open source large language models. Micah shares his experience and why this is a transformative time to join the team. 🤔 What’s it like to work at the Richland Parish Data Center? “Launching and running the Richland Parish Data Center means building the infrastructure that enables Meta Technologies to reach billions of people. We deliver secure, scalable infrastructure, and match 100% of the Richland Parish Data Center electricity use with clean and renewable energy. Our work is making a real impact for billions.” 🚀 Why is now an exciting time to join the Richland Parish Data Center team? “We’re at the beginning of something big, building a data center of this scale from the ground up is a rare opportunity. Richland Parish is set to be one of the largest and most advanced data center campuses in the world. What’s exciting is that you’re not just following a playbook, you’re helping to write it. The team is building best practices, creating a collaborative culture, and setting new standards for our industry. If you want to be part of a project that will make an impact for years to come, and you’re ready to make a difference, there’s no better time to join us!” 🏡 What makes Richland Parish a great place to live and work? “Richland Parish is the ideal spot for our data center team, combining a strategic location, affordability, and a welcoming community. With easy commutes, a low cost of living, access to quality housing and a vibrant local food scene with highly rated restaurants, you’ll find both financial freedom and a true sense of belonging. The area’s strong sense of community, educational resources, and abundant outdoor activities make work-life balance and career growth a reality. Here, professional success and personal fulfillment go hand in hand.” Micah’s journey to Meta spans 25 years in critical facilities, drawn by the challenge and excitement of hyperscale data centers: “Every day, I get to work with talented people and the latest technology, AI-optimized buildings, advanced cooling systems, high-density GPU clusters. What stands out most is our team’s energy and spirit. We take our jobs seriously, but we have fun at work!” ⭐We are hiring subject matter experts! Controls Subject Matter Expert: https://lnkd.in/gfM5zvSB Mechanical Subject Matter Expert: https://lnkd.in/gUfv-Zpm Electrical Subject Matter Expert: https://lnkd.in/gA2YmN8D 🔗 Save this link for current and future job opportunities as we continue to grow. https://lnkd.in/g_uFVA9m #MetaCareers #RichlandParish #DataCenter",2025-12-11 16:00:08,174,22.0,0.45454545454545453,0.13636363636363635,0.18181818181818182,0.045454545454545456,0.045454545454545456,0.0,0.0,0.045454545454545456,0.9090909090909091,Low,Helpful,0.0,supportive signal,Low,Helpful,0.0,supportive signal,0.045454545454545456,0.0,0.0,0.045454545454545456,0.9090909090909091
https://www.linkedin.com/posts/meta_charting-the-next-frontier-with-ai-andrew-activity-7405245050462433280-SLT7,"2025 has been a transformative year, with AI accelerating a decade-long exploration into the future of computing. We are seeing the platform of the future finally come into focus, driven by key advancements that bridge the digital and physical worlds. ➡️ Read Meta CTO and Head of Reality Labs Andrew Bosworth's reflections on the technologies that came to life this year and how they shape our ambitions for 2026 🚀: https://lnkd.in/gtGAG_-D #AI #MixedReality #TechInnovation #Metaverse #Wearables",2025-12-12 15:00:02,1236,30.0,0.3333333333333333,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.3333333333333333,0.1,0.1,0.3333333333333333,0.5666666666666667,High,Harmful,1.5,negative>=30%;critical_hostile>=25%,High,Harmful,1.5,negative>=30%;critical_hostile>=25%,0.3333333333333333,0.1,0.1,0.3333333333333333,0.5666666666666667
https://www.linkedin.com/posts/meta_engineering-ai-adtech-activity-7402700924953235456-AS1z,"Generative Ads Recommendation Model (GEM) challenged us to think bigger about data, AI, training infra and teamwork. Meet the team that made it happen and see the lessons they took away from building the largest ads foundation model in the industry. 🔹 Learn more. ↓ #Engineering #AI #AdTech #AIscale #Advertising #MachineLearning #ScalingAI",2025-12-05 14:30:36,357,30.0,0.3333333333333333,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.3333333333333333,0.4,0.03333333333333333,0.3333333333333333,0.6,High,Harmful,1.5,neg_tech>=20%;negative>=30%;critical_hostile>=25%,High,Harmful,1.5,neg_tech>=20%;negative>=30%;critical_hostile>=25%,0.3333333333333333,0.4,0.03333333333333333,0.3333333333333333,0.6
https://www.linkedin.com/posts/meta_as-we-move-through-this-season-of-thanks-activity-7399431746347417600-kSbf,"As we move through this season of thanks, who is someone on your team that you’re thankful for? 🧡",2025-11-26 14:00:03,117,30.0,0.2,0.1,0.1,0.03333333333333333,0.5666666666666667,0.5,0.4666666666666667,0.5666666666666667,0.26666666666666666,High,Harmful,1.5,neg_tech>=20%;toxic/burnout>=15%;negative>=30%;critical_hostile>=25%,High,Harmful,1.5,neg_tech>=20%;toxic/burnout>=15%;negative>=30%;critical_hostile>=25%,0.5666666666666667,0.5,0.4666666666666667,0.5666666666666667,0.26666666666666666
https://www.linkedin.com/posts/meta_2025-ai-at-meta-hackathon-activity-7399099607063887872-1GAv,"A look inside our first university #AIatMetaHackathon 🤩 We welcomed 50 software engineering students to Meta HQ for three days of hands-on AI innovation, collaboration, and learning. Hackathons are a huge part of Meta culture, and there’s no better way to highlight AI at Meta than by inviting students to engage live with our technology firsthand. Event highlights: 💻 Immersive VR projects on Meta Quest 3 using Llama, text-to-speech, and ImageGen 🎤 Insights from Mat Velloso, VP of Product Management, on Meta’s vision for AI 🧑‍💼 Mentorship from Kirk Barker, Product Manager, Reality Labs 👓 Tested the latest Meta AI smart glasses and neural band technology 🎮 Late-night coding, arcade games, and camaraderie in the #HackerDen Across 11 teams, students brought a range of creative ideas to life from applications supporting health and well-being to tools that enhance everyday experiences with AI. Congrats to our winners: 🏆Stage Buddy: Quest app to help users overcome fear of public speaking by simulating a realistic stage environment and virtual audience, while AI provides feedback on tone, pacing, volume, and stability. 🏆Meta CompARe: Uses Quest and Llama to provide shoppers with prices, alternatives, and purchase options for any product, eliminating manual search. 🏆Locus: Quest tool that enables movie & TV creators to virtually explore real-world locations, instantly generating camera-ready shot ideas and shareable storyboards, saving time and money on traditional location scouting. It was inspiring to witness how today’s students are already building the future of AI technologies in just one weekend. We’re excited to see how their creativity and drive will continue to pave the way for advancements in AI throughout their careers! Learn more about future opportunities for students and grads here: https://lnkd.in/dC8xmrcG #MetaCareers #LifeatMeta #AIatMeta",2025-11-25 16:00:14,534,30.0,0.43333333333333335,0.13333333333333333,0.13333333333333333,0.0,0.3,0.23076923076923078,0.0,0.3,0.7,High,Harmful,1.5,neg_tech>=20%;negative>=30%;critical_hostile>=25%,High,Harmful,1.5,neg_tech>=20%;negative>=30%;critical_hostile>=25%,0.3,0.23076923076923078,0.0,0.3,0.7
https://www.linkedin.com/posts/meta_neurips2025-metacareers-neurips-activity-7401273886618857472-ZQxk,"☀️ We’re heading to #NeurIPS2025 in San Diego ☀️ Visit us at booth #1223 to connect with Meta researchers, engineers, and recruiters. Throughout the conference, our booth will be the hub for thought leadership sessions and live demos. Get hands-on with innovations like Meta Ray-Ban Display and DINO V3, and join our experts for engaging talks. 🗣️ Here’s what’s on the schedule: 🗓️ Tuesday, Dec 2 ◆ The Magic Behind the Lens: Ray-Ban Meta 1 PM & 2 PM | Kaushik Patnaik ◆ Let’s Take it A Click Deeper: DINO 3 PM & 4 PM | Joséphine Raugel 🗓️ Wednesday, Dec 3 ◆ Let’s Take it A Click Deeper: Universal Models for Atoms (UMA) 10 AM & 11 AM | Daniel Levine, Brandon Wood, and Ray G. ◆ Scaling Self-Supervised Models: Insights from Joint Embedding Predictive Architecture (JEPA) 12 PM & 1 PM | Randall Balestriero and Koustuv Sinha ◆Let’s Take it a Click Deeper: SAM 3D Objects & Body 1:30 PM & 2:30 PM | Kevin Liang, Jinkun Cao and Weiyao Wang ◆ Let’s Take it A Click Deeper: Omnilingual ASR 3 PM & 4 PM | Gil Keren 🗓️ Thursday, Dec 4 ◆ AI Career Journeys: Insights from a Meta Research Scientist 10 AM & 11 AM | Ali Reiff, Adderlyn Lora and Jamelle Watson-Daniels ◆ Let’s Take it A Click Deeper: SAM3 12PM & 1 PM | Kate Saenko ◆ Collective Governance for LLMs: The Community Alignment Dataset 2 PM & 3PM | Claudia Shi and Jack Kussman ◆ Let’s Take it a Click Deeper: SAM 3D Objects & Body 3:40 PM & 4:30 PM | Kevin Liang, Jinkun Cao, Weiyao Wang We’re hiring! If you’re passionate about advancing AI and want to help build the future, check out some of our open opportunities and join us in building the future of technology: Full time roles: 👉 Research Scientist, Machine Learning (PhD) https://lnkd.in/gXCq2dAk 👉 Research Engineer, Conversational AI - Reality Labs https://lnkd.in/gD2BuvGx Internships: 👉 Research Scientist Intern PhD, Applied Research https://lnkd.in/gCb3cmuM 👉 Research Scientist Intern, Multimodal Generative AI and Robotics (PhD) https://lnkd.in/gUWrZuCy #MetaCareers #NeurIPS #AIResearch #MachineLearning #MetaAI",2025-12-01 16:00:03,422,30.0,0.43333333333333335,0.1,0.06666666666666667,0.06666666666666667,0.3,0.15384615384615385,0.06666666666666667,0.3,0.43333333333333335,High,Harmful,1.5,negative>=30%;critical_hostile>=25%,High,Harmful,1.5,negative>=30%;critical_hostile>=25%,0.3,0.15384615384615385,0.06666666666666667,0.3,0.43333333333333335
https://www.linkedin.com/posts/meta_techforgood-accessibility-inclusion-activity-7400888880482283520-O89_,"Our AI glasses are built with cutting-edge, wearable technology that helps people with disabilities navigate their daily lives. ➡️ Learn how advanced wearable technology to empower people with disabilities: https://lnkd.in/gZ7FBSci #TechForGood #Accessibility #Inclusion #AI",2025-11-30 14:30:10,287,30.0,0.3333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.16666666666666666,0.3,0.0,0.16666666666666666,0.6666666666666666,High,Harmful,1.5,neg_tech>=20%,High,Harmful,1.5,neg_tech>=20%,0.16666666666666666,0.3,0.0,0.16666666666666666,0.6666666666666666
https://www.linkedin.com/posts/meta_set-the-tone-for-the-week-ahead-with-purpose-activity-7396177973927690240-Al0V,"Set the tone for the week ahead with purpose and passion — make a plan, take action, and watch your efforts pay off. 📝 ✅",2025-11-17 14:30:43,214,30.0,0.4666666666666667,0.3,0.26666666666666666,0.0,0.4,0.5,0.0,0.4,0.4666666666666667,High,Harmful,1.5,neg_tech>=20%;negative>=30%;critical_hostile>=25%,High,Harmful,1.5,neg_tech>=20%;negative>=30%;critical_hostile>=25%,0.4,0.5,0.0,0.4,0.4666666666666667
